x,y,wall_n,wall_e,wall_s,wall_w,empty,current
0,0,True,True,False,True,False,False
1,0,False,False,False,False,True,False
2,0,False,False,False,False,True,False
3,0,False,False,False,False,True,False
0,1,False,True,True,False,False,False
1,1,True,False,False,True,False,False
2,1,False,False,False,False,True,False
3,1,False,False,False,False,True,False
0,2,False,False,False,False,True,False
1,2,False,True,True,False,False,False
2,2,True,False,True,False,False,False
3,2,True,False,False,True,False,False
0,3,False,False,False,False,True,False
1,3,False,False,False,False,True,False
2,3,False,False,False,False,True,False
3,3,False,True,True,True,False,True
